sex,Race_ethnicity,age_group,Total_cases,Total_deaths,Medcond,Month,Year,date
Female,Hispanic,0 - 9 Years,5,0,No,1,2020,1/1/2020
Female,White,0 - 9 Years,1,0,Yes,1,2020,1/1/2020
Female,White,0 - 9 Years,13,0,No,1,2020,1/1/2020
Female,Black,0 - 9 Years,4,0,No,1,2020,1/1/2020
Female,Other/Missing,0 - 9 Years,21,0,No,1,2020,1/1/2020
Female,Hispanic,0 - 9 Years,1,0,Yes,1,2020,1/1/2020
Female,Other/Missing,0 - 9 Years,1,0,Yes,1,2020,1/1/2020
Female,Black,0 - 9 Years,1,0,Yes,1,2020,1/1/2020
Female,Other/Missing,0 - 9 Years,16,0,No,2,2020,2/1/2020
Female,Hispanic,0 - 9 Years,3,0,No,2,2020,2/1/2020
Female,White,0 - 9 Years,2,0,No,2,2020,2/1/2020
Female,Other/Missing,0 - 9 Years,1,0,Yes,2,2020,2/1/2020
Female,Black,0 - 9 Years,1,0,No,2,2020,2/1/2020
Female,White,0 - 9 Years,230,0,No,3,2020,3/1/2020
Female,Hispanic,0 - 9 Years,191,0,No,3,2020,3/1/2020
Female,Other/Missing,0 - 9 Years,578,0,No,3,2020,3/1/2020
Female,Black,0 - 9 Years,76,1,No,3,2020,3/1/2020
Female,White,0 - 9 Years,29,0,Yes,3,2020,3/1/2020
Female,Hispanic,0 - 9 Years,29,1,Yes,3,2020,3/1/2020
Female,Black,0 - 9 Years,11,1,Yes,3,2020,3/1/2020
Female,Other/Missing,0 - 9 Years,21,0,Yes,3,2020,3/1/2020
Female,Asian,0 - 9 Years,25,0,No,3,2020,3/1/2020
Female,Asian,0 - 9 Years,2,0,Yes,3,2020,3/1/2020
Female,Hispanic,0 - 9 Years,1199,0,No,4,2020,4/1/2020
Female,Other/Missing,0 - 9 Years,2139,0,No,4,2020,4/1/2020
Female,Black,0 - 9 Years,421,1,No,4,2020,4/1/2020
Female,White,0 - 9 Years,474,1,No,4,2020,4/1/2020
Female,Asian,0 - 9 Years,94,0,No,4,2020,4/1/2020
Female,Asian,0 - 9 Years,8,0,Yes,4,2020,4/1/2020
Female,Hispanic,0 - 9 Years,99,1,Yes,4,2020,4/1/2020
Female,White,0 - 9 Years,38,0,Yes,4,2020,4/1/2020
Female,Black,0 - 9 Years,30,0,Yes,4,2020,4/1/2020
Female,Other/Missing,0 - 9 Years,87,0,Yes,4,2020,4/1/2020
Female,Hispanic,0 - 9 Years,2876,1,No,5,2020,5/1/2020
Female,Other/Missing,0 - 9 Years,4020,0,No,5,2020,5/1/2020
Female,White,0 - 9 Years,765,1,No,5,2020,5/1/2020
Female,Black,0 - 9 Years,899,0,No,5,2020,5/1/2020
Female,Asian,0 - 9 Years,172,0,No,5,2020,5/1/2020
Female,White,0 - 9 Years,72,0,Yes,5,2020,5/1/2020
Female,Hispanic,0 - 9 Years,213,0,Yes,5,2020,5/1/2020
Female,Other/Missing,0 - 9 Years,126,1,Yes,5,2020,5/1/2020
Female,Black,0 - 9 Years,90,0,Yes,5,2020,5/1/2020
Female,Asian,0 - 9 Years,19,0,Yes,5,2020,5/1/2020
Female,Other/Missing,0 - 9 Years,7353,0,No,6,2020,6/1/2020
Female,Hispanic,0 - 9 Years,4524,3,No,6,2020,6/1/2020
Female,Asian,0 - 9 Years,237,0,No,6,2020,6/1/2020
Female,White,0 - 9 Years,1759,0,No,6,2020,6/1/2020
Female,Black,0 - 9 Years,1389,0,No,6,2020,6/1/2020
Female,Hispanic,0 - 9 Years,328,0,Yes,6,2020,6/1/2020
Female,White,0 - 9 Years,142,1,Yes,6,2020,6/1/2020
Female,Other/Missing,0 - 9 Years,162,0,Yes,6,2020,6/1/2020
Female,Asian,0 - 9 Years,34,0,Yes,6,2020,6/1/2020
Female,Black,0 - 9 Years,150,0,Yes,6,2020,6/1/2020
Female,White,0 - 9 Years,3975,2,No,7,2020,7/1/2020
Female,Other/Missing,0 - 9 Years,12969,2,No,7,2020,7/1/2020
Female,Black,0 - 9 Years,2814,1,No,7,2020,7/1/2020
Female,Hispanic,0 - 9 Years,5356,0,No,7,2020,7/1/2020
Female,Asian,0 - 9 Years,320,0,No,7,2020,7/1/2020
Female,Hispanic,0 - 9 Years,282,0,Yes,7,2020,7/1/2020
Female,White,0 - 9 Years,208,0,Yes,7,2020,7/1/2020
Female,Black,0 - 9 Years,205,1,Yes,7,2020,7/1/2020
Female,Other/Missing,0 - 9 Years,150,1,Yes,7,2020,7/1/2020
