sex,age_group,Total_cases,Total_deaths,Month,Year,Medcond,Race_ethnicity
Female,0 - 9 Years,2,0,1,2020,Yes,Hispanic
Female,0 - 9 Years,1,0,1,2020,Yes,Black
Female,0 - 9 Years,17,0,1,2020,No,White
Female,0 - 9 Years,9,0,1,2020,No,Hispanic
Female,0 - 9 Years,18,0,1,2020,No,Other/Missing
Female,0 - 9 Years,4,0,1,2020,No,Black
Female,0 - 9 Years,2,0,2,2020,No,Black
Female,0 - 9 Years,2,0,2,2020,No,White
Female,0 - 9 Years,13,0,2,2020,No,Other/Missing
Female,0 - 9 Years,5,0,2,2020,No,Hispanic
Female,0 - 9 Years,1,0,2,2020,Yes,Other/Missing
Female,0 - 9 Years,245,0,3,2020,No,White
Female,0 - 9 Years,74,1,3,2020,No,Black
Female,0 - 9 Years,559,0,3,2020,No,Other/Missing
Female,0 - 9 Years,227,1,3,2020,No,Hispanic
Female,0 - 9 Years,12,1,3,2020,Yes,Black
Female,0 - 9 Years,35,2,3,2020,Yes,White
Female,0 - 9 Years,30,0,3,2020,Yes,Other/Missing
Female,0 - 9 Years,27,1,3,2020,Yes,Hispanic
Female,0 - 9 Years,27,0,3,2020,No,Asian
Female,0 - 9 Years,2,0,3,2020,Yes,Asian
Female,0 - 9 Years,524,1,4,2020,No,White
Female,0 - 9 Years,447,1,4,2020,No,Black
Female,0 - 9 Years,1501,0,4,2020,No,Hispanic
Female,0 - 9 Years,1969,2,4,2020,No,Other/Missing
Female,0 - 9 Years,97,0,4,2020,No,Asian
Female,0 - 9 Years,39,0,4,2020,Yes,Black
Female,0 - 9 Years,49,1,4,2020,Yes,White
Female,0 - 9 Years,101,0,4,2020,Yes,Other/Missing
Female,0 - 9 Years,102,1,4,2020,Yes,Hispanic
Female,0 - 9 Years,9,0,4,2020,Yes,Asian
Female,0 - 9 Years,814,4,5,2020,No,White
Female,0 - 9 Years,168,0,5,2020,No,Asian
Female,0 - 9 Years,908,0,5,2020,No,Black
Female,0 - 9 Years,3767,3,5,2020,No,Hispanic
Female,0 - 9 Years,3284,0,5,2020,No,Other/Missing
Female,0 - 9 Years,110,7,5,2020,Yes,White
Female,0 - 9 Years,101,0,5,2020,Yes,Black
Female,0 - 9 Years,25,0,5,2020,Yes,Asian
Female,0 - 9 Years,145,1,5,2020,Yes,Other/Missing
Female,0 - 9 Years,224,0,5,2020,Yes,Hispanic
Female,0 - 9 Years,1402,0,6,2020,No,Black
Female,0 - 9 Years,1818,2,6,2020,No,White
Female,0 - 9 Years,242,0,6,2020,No,Asian
Female,0 - 9 Years,6823,4,6,2020,No,Hispanic
Female,0 - 9 Years,5280,0,6,2020,No,Other/Missing
Female,0 - 9 Years,179,0,6,2020,Yes,Black
Female,0 - 9 Years,167,3,6,2020,Yes,White
Female,0 - 9 Years,41,0,6,2020,Yes,Asian
Female,0 - 9 Years,350,0,6,2020,Yes,Hispanic
